order_id,user_id,session_id,order_timestamp,subtotal,discount_amount,shipping_fee,tax_amount,total_amount,order_status,shipping_method
ORD-2025-000001,834,SES-2025-000142,2025-09-08 16:31:57,24.0,0.0,7.99,1.98,33.97,Delivered,Standard Ground
ORD-2025-000002,1386,SES-2025-000165,2025-10-10 14:07:58,79.99,0.0,0.0,6.6,86.59,Delivered,Free Standard
ORD-2025-000003,6201,SES-2025-000213,2025-12-18 14:44:07,22.0,2.2,7.99,1.82,29.61,Delivered,Standard Ground
ORD-2025-000004,9354,SES-2025-000251,2025-11-29 03:26:41,267.0,0.0,0.0,22.03,289.03,Delivered,Free Standard
ORD-2025-000005,8422,SES-2025-000316,2025-10-08 23:51:30,48.0,0.0,7.99,3.96,59.95,Delivered,Standard Ground
ORD-2025-000006,9574,SES-2025-000381,2025-12-19 02:15:16,698.0,0.0,0.0,57.59,755.59,Delivered,Free Standard
ORD-2025-000007,8363,SES-2025-000408,2025-08-22 01:34:06,68.0,0.0,7.99,5.61,81.6,Delivered,Standard Ground
ORD-2025-000008,8376,SES-2025-000428,2025-05-15 21:45:08,170.0,0.0,0.0,14.03,184.03,Delivered,Free Standard
ORD-2025-000009,6095,SES-2025-000504,2025-05-11 19:45:18,34.0,0.0,7.99,2.81,44.8,Delivered,Standard Ground
ORD-2025-000010,8893,SES-2025-000522,2025-09-25 19:55:43,49.0,4.9,7.99,4.04,56.13,Delivered,Standard Ground
ORD-2025-000011,2773,SES-2025-000538,2025-04-26 04:38:13,95.0,0.0,0.0,7.84,102.84,Delivered,Free Standard
ORD-2025-000012,8403,SES-2025-000609,2025-10-26 09:20:34,170.0,0.0,0.0,14.03,184.03,Delivered,Free Standard
ORD-2025-000013,9470,SES-2025-000651,2025-10-05 15:08:58,25.0,0.0,7.99,2.06,35.05,Processing,Standard Ground
ORD-2025-000014,8737,SES-2025-000754,2025-09-23 07:43:40,28.0,0.0,7.99,2.31,38.3,Delivered,Standard Ground
ORD-2025-000015,1992,SES-2025-000891,2025-11-29 14:54:38,290.0,0.0,0.0,23.93,313.93,Delivered,Free Standard
ORD-2025-000016,3204,SES-2025-000926,2025-12-02 23:27:48,79.0,7.9,0.0,6.52,77.62,Delivered,Free Standard
ORD-2025-000017,7740,SES-2025-000969,2025-11-08 05:15:45,68.0,0.0,7.99,5.61,81.6,Delivered,Standard Ground
