payment_id,order_id,session_id,payment_method,amount,payment_status,error_code,payment_timestamp
1,ORD-2025-000001,SES-2025-000142,Buy Now Pay Later,33.97,Successful,,2025-09-08 16:31:57
2,ORD-2025-000002,SES-2025-000165,Credit Card,86.59,Successful,,2025-10-10 14:07:58
3,ORD-2025-000003,SES-2025-000213,Debit Card,29.61,Successful,,2025-12-18 14:44:07
4,ORD-2025-000004,SES-2025-000251,Debit Card,289.03,Successful,,2025-11-29 03:26:41
5,,SES-2025-000300,Debit Card,34.0,Failed,DECLINED_BY_ISSUER,2025-02-24 04:20:31
6,ORD-2025-000005,SES-2025-000316,Debit Card,59.95,Successful,,2025-10-08 23:51:30
7,ORD-2025-000006,SES-2025-000381,Credit Card,755.59,Successful,,2025-12-19 02:15:16
8,ORD-2025-000007,SES-2025-000408,PayPal,81.6,Successful,,2025-08-22 01:34:06
9,ORD-2025-000008,SES-2025-000428,Buy Now Pay Later,184.03,Successful,,2025-05-15 21:45:08
10,ORD-2025-000009,SES-2025-000504,Credit Card,44.8,Successful,,2025-05-11 19:45:18
11,ORD-2025-000010,SES-2025-000522,Debit Card,56.13,Successful,,2025-09-25 19:55:43
12,ORD-2025-000011,SES-2025-000538,Credit Card,102.84,Successful,,2025-04-26 04:38:13
13,ORD-2025-000012,SES-2025-000609,Debit Card,184.03,Successful,,2025-10-26 09:20:34
14,ORD-2025-000013,SES-2025-000651,Debit Card,35.05,Successful,,2025-10-05 15:08:58
15,ORD-2025-000014,SES-2025-000754,Apple Pay,38.3,Successful,,2025-09-23 07:43:40
16,ORD-2025-000015,SES-2025-000891,Credit Card,313.93,Successful,,2025-11-29 14:54:38
17,ORD-2025-000016,SES-2025-000926,Apple Pay,77.62,Successful,,2025-12-02 23:27:48
18,ORD-2025-000017,SES-2025-000969,PayPal,81.6,Successful,,2025-11-08 05:15:45
19,ORD-2025-000018,SES-2025-000971,Debit Card,49.13,Successful,,2025-09-25 16:48:40
20,ORD-2025-000019,SES-2025-001040,Debit Card,81.6,Successful,,2025-12-24 02:02:58
21,ORD-2025-000020,SES-2025-001071,Credit Card,55.62,Successful,,2025-11-17 06:08:54
22,ORD-2025-000021,SES-2025-001144,Debit Card,68.61,Successful,,2025-10-24 06:38:35
23,ORD-2025-000022,SES-2025-001187,PayPal,31.57,Successful,,2025-03-13 05:52:50
24,ORD-2025-000023,SES-2025-001224,Credit Card,44.8,Successful,,2025-11-27 02:52:58
25,ORD-2025-000024,SES-2025-001243,PayPal,31.81,Successful,,2025-12-24 22:14:11
26,,SES-2025-001384,Debit Card,349.0,Failed,DECLINED_BY_ISSUER,2025-12-26 04:04:19
27,ORD-2025-000025,SES-2025-001435,Credit Card,44.8,Successful,,2025-12-20 12:47:03
28,ORD-2025-000026,SES-2025-001482,PayPal,55.62,Successful,,2025-10-24 09:59:01
29,ORD-2025-000027,SES-2025-001502,Debit Card,77.27,Successful,,2025-06-05 04:02:01
30,ORD-2025-000028,SES-2025-001537,Apple Pay,162.36,Successful,,2025-04-27 12:11:43
31,ORD-2025-000029,SES-2025-001554,Credit Card,276.04,Successful,,2025-10-02 17:23:37
32,ORD-2025-000030,SES-2025-001566,Debit Card,92.01,Successful,,2025-12-31 14:50:45
33,ORD-2025-000031,SES-2025-001567,Credit Card,83.51,Successful,,2025-03-05 11:23:42
34,ORD-2025-000032,SES-2025-001620,Apple Pay,39.38,Successful,,2025-11-09 19:31:46
35,ORD-2025-000033,SES-2025-001623,Debit Card,86.59,Successful,,2025-02-28 16:53:22
