session_id,user_id,session_start,device_type,traffic_source,page_views,duration_seconds,is_bounced,has_converted
SES-2025-000001,,2025-09-28 03:44:46,Desktop,Paid Search,2,52,0,0
SES-2025-000002,3268.0,2025-11-05 14:38:15,Mobile,Organic Search,1,13,1,0
SES-2025-000003,6486.0,2025-11-04 22:22:32,Desktop,Direct,3,101,0,0
SES-2025-000004,,2025-02-14 13:33:08,Mobile,Paid Search,1,5,1,0
SES-2025-000005,,2025-08-13 04:35:24,Mobile,Email,3,97,0,0
SES-2025-000006,4274.0,2025-08-12 20:08:34,Mobile,Direct,3,99,0,0
SES-2025-000007,5468.0,2025-04-17 07:49:44,Desktop,Paid Social,2,28,0,0
SES-2025-000008,,2025-02-12 21:11:20,Desktop,Paid Social,4,81,0,0
SES-2025-000009,2965.0,2025-10-05 20:05:52,Desktop,Organic Search,1,4,1,0
SES-2025-000010,4117.0,2025-07-30 07:18:20,Mobile,Paid Social,1,4,1,0
SES-2025-000011,4585.0,2025-10-08 12:55:33,Desktop,Organic Search,1,15,1,0
SES-2025-000012,,2025-08-21 00:35:18,Desktop,Paid Search,3,80,0,0
SES-2025-000013,1747.0,2025-09-06 02:29:56,Mobile,Direct,3,73,0,0
SES-2025-000014,,2025-05-23 00:13:45,Mobile,Paid Social,1,18,1,0
SES-2025-000015,9119.0,2025-11-22 02:00:26,Desktop,Paid Search,1,16,1,0
SES-2025-000016,1813.0,2025-06-18 10:28:22,Mobile,Direct,3,92,0,0
SES-2025-000017,,2025-08-14 19:22:07,Desktop,Paid Social,1,11,1,0
SES-2025-000018,4937.0,2025-10-29 06:00:32,Mobile,Direct,3,96,0,0
SES-2025-000019,2898.0,2025-11-15 17:17:13,Mobile,Paid Social,3,77,0,0
SES-2025-000020,1071.0,2025-12-28 19:19:45,Mobile,Direct,2,48,0,0
SES-2025-000021,8501.0,2025-07-13 22:53:58,Mobile,Email,2,46,0,0
SES-2025-000022,,2025-06-22 07:40:23,Desktop,Paid Search,3,105,0,0
SES-2025-000023,5448.0,2025-12-30 05:21:13,Mobile,Organic Search,3,104,0,0
SES-2025-000024,1814.0,2025-06-06 04:11:08,Desktop,Direct,3,86,0,0
SES-2025-000025,,2025-01-24 01:13:17,Desktop,Organic Search,1,11,1,0
SES-2025-000026,774.0,2025-07-09 02:06:04,Desktop,Paid Search,3,91,0,0
SES-2025-000027,6740.0,2025-07-16 17:03:46,Mobile,Direct,2,43,0,0
SES-2025-000028,4984.0,2025-12-08 12:32:05,Desktop,Paid Search,3,89,0,0
SES-2025-000029,2648.0,2025-11-16 20:55:19,Mobile,Organic Search,3,84,0,0
SES-2025-000030,6862.0,2025-12-03 11:44:58,Mobile,Direct,4,118,0,0
SES-2025-000031,5837.0,2025-11-28 22:46:16,Desktop,Organic Search,2,44,0,0
SES-2025-000032,4429.0,2025-09-12 03:05:46,Mobile,Affiliate,2,67,0,0
SES-2025-000033,4482.0,2025-11-20 20:59:42,Mobile,Paid Social,1,9,1,0
SES-2025-000034,4272.0,2025-08-25 23:07:29,Mobile,Paid Search,1,13,1,0
SES-2025-000035,5419.0,2025-09-16 21:51:36,Desktop,Organic Search,4,123,0,0
SES-2025-000036,,2025-08-10 03:02:57,Mobile,Paid Search,2,37,0,0
SES-2025-000037,5117.0,2025-11-18 23:07:02,Desktop,Paid Social,4,108,0,0
SES-2025-000038,,2025-11-24 23:44:32,Desktop,Paid Search,2,31,0,0
SES-2025-000039,,2025-12-19 18:44:20,Mobile,Paid Social,2,47,0,0
