order_month,monthly_sessions,monthly_active_users,monthly_orders,monthly_revenue,monthly_aov,monthly_conversion_rate_pct,mom_revenue_growth_pct
2025-01,1049,115,30,3405.05,113.5,2.86,
2025-02,1119,215,33,3418.3,103.58,2.95,0.39
2025-03,1326,397,41,4631.92,112.97,3.09,35.5
2025-04,1508,556,39,3854.49,98.83,2.59,-16.78
2025-05,1824,787,56,5426.55,96.9,3.07,40.79
2025-06,1925,940,37,3918.0,105.89,1.92,-27.8
2025-07,2364,1198,46,4350.04,94.57,1.95,11.03
2025-08,2655,1486,74,8385.67,113.32,2.79,92.77
2025-09,2994,1804,91,9723.34,106.85,3.04,15.95
2025-10,3656,2256,99,10207.46,103.11,2.71,4.98
2025-11,4482,2864,113,11295.17,99.96,2.52,10.66
2025-12,7097,3891,198,20387.08,102.97,2.79,80.49
2026-01,1,1,0,0.0,,0.0,-100.0
