cohort_month,cohort_size,m0_users,m0_retention_pct,m1_users,m1_retention_pct,m2_users,m2_retention_pct,m3_users,m3_retention_pct,m4_users,m4_retention_pct,m5_users,m5_retention_pct,m6_users,m6_retention_pct
2025-01,827,4,0.5,5,0.6,9,1.1,7,0.8,7,0.8,5,0.6,5,0.6
2025-02,770,5,0.6,6,0.8,6,0.8,7,0.9,7,0.9,4,0.5,8,1.0
2025-03,890,5,0.6,8,0.9,9,1.0,5,0.6,4,0.4,10,1.1,8,0.9
2025-04,801,2,0.2,11,1.4,4,0.5,6,0.7,9,1.1,11,1.4,3,0.4
2025-05,793,6,0.8,5,0.6,4,0.5,7,0.9,5,0.6,7,0.9,14,1.8
2025-06,846,2,0.2,10,1.2,11,1.3,8,0.9,9,1.1,7,0.8,13,1.5
2025-07,857,2,0.2,13,1.5,14,1.6,16,1.9,10,1.2,11,1.3,0,0.0
2025-08,818,7,0.9,10,1.2,11,1.3,12,1.5,20,2.4,0,0.0,0,0.0
2025-09,815,8,1.0,13,1.6,14,1.7,15,1.8,0,0.0,0,0.0,0,0.0
2025-10,916,16,1.7,22,2.4,25,2.7,0,0.0,0,0.0,0,0.0,0,0.0
2025-11,801,17,2.1,33,4.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2025-12,866,45,5.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
