product_name,category,retail_price,view_count,cart_count,orders_count,total_revenue_usd,product_conversion_rate_pct,revenue_rank
Automatic Espresso & Cappuccino Machine,Home & Kitchen,349.0,388,114,25,6989074.0,6.44,1
Waterproof Trench Coat Jacket,Apparel,145.0,423,164,32,4401910.0,7.57,2
Ultra-Slim 4K Monitor 27-inch,Electronics,299.99,417,95,14,2876304.12,3.36,3
Wireless Noise-Canceling Headphones,Electronics,149.99,417,127,17,2283597.75,4.08,4
Sonic Electric Toothbrush with UV Sanitizer,Beauty,79.0,392,147,30,2102111.0,7.65,5
Luxury Bamboo Queen Sheet Set,Home & Kitchen,110.0,450,154,23,2061180.0,5.11,6
Cast Iron Dutch Oven 6-Quart,Home & Kitchen,89.0,455,137,24,2045576.0,5.27,7
Adjustable Neoprene Dumbbell Set (Pair),Sports,85.0,415,148,24,1901620.0,5.78,8
Slim-Fit Stretch Denim Jeans,Apparel,68.0,387,157,34,1890672.0,8.79,9
Performance Athletic Hoodie,Apparel,74.0,428,164,28,1687422.0,6.54,10
