device_type,traffic_source,user_status,total_sessions,cart_sessions,checkout_sessions,purchased_sessions,visit_to_cart_rate_pct,cart_abandonment_pct,checkout_abandonment_pct,overall_conversion_rate_pct
Desktop,Affiliate,Guest / Anonymous,169,15,1,0,8.88,93.33,100.0,0.0
Desktop,Direct,Guest / Anonymous,699,112,24,0,16.02,78.57,100.0,0.0
Desktop,Email,Guest / Anonymous,375,66,12,0,17.6,81.82,100.0,0.0
Desktop,Organic Search,Guest / Anonymous,1049,158,28,0,15.06,82.28,100.0,0.0
Desktop,Paid Search,Guest / Anonymous,802,104,15,0,12.97,85.58,100.0,0.0
Desktop,Paid Social,Guest / Anonymous,715,74,13,0,10.35,82.43,100.0,0.0
Mobile,Affiliate,Guest / Anonymous,282,37,4,0,13.12,89.19,100.0,0.0
Mobile,Direct,Guest / Anonymous,1145,149,25,0,13.01,83.22,100.0,0.0
Mobile,Email,Guest / Anonymous,679,108,23,0,15.91,78.7,100.0,0.0
Mobile,Organic Search,Guest / Anonymous,1873,221,26,0,11.8,88.24,100.0,0.0
Mobile,Paid Search,Guest / Anonymous,1407,186,31,0,13.22,83.33,100.0,0.0
Mobile,Paid Social,Guest / Anonymous,1178,110,4,0,9.34,96.36,100.0,0.0
Mobile,Paid Social,Returning Customer,101,8,1,0,7.92,87.5,100.0,0.0
Tablet,Direct,Guest / Anonymous,100,11,1,0,11.0,90.91,100.0,0.0
Tablet,Email,Guest / Anonymous,52,7,1,0,13.46,85.71,100.0,0.0
Tablet,Organic Search,Guest / Anonymous,172,21,2,0,12.21,90.48,100.0,0.0
Tablet,Paid Search,Guest / Anonymous,114,14,2,0,12.28,85.71,100.0,0.0
Tablet,Paid Social,Guest / Anonymous,94,12,3,0,12.77,75.0,100.0,0.0
Mobile,Direct,Returning Customer,117,16,3,1,13.68,81.25,66.67,0.85
Tablet,Paid Social,New Visitor,187,21,6,2,11.23,71.43,66.67,1.07
Mobile,Organic Search,Returning Customer,163,21,4,2,12.88,80.95,50.0,1.23
Tablet,Paid Search,New Visitor,231,35,5,3,15.15,85.71,40.0,1.3
Mobile,Paid Social,New Visitor,2163,242,61,41,11.19,74.79,32.79,1.9
Mobile,Organic Search,New Visitor,3299,468,144,89,14.19,69.23,38.19,2.7
Mobile,Affiliate,New Visitor,485,67,23,14,13.81,65.67,39.13,2.89
Desktop,Direct,Returning Customer,69,9,3,2,13.04,66.67,33.33,2.9
Mobile,Email,Returning Customer,69,12,5,2,17.39,58.33,60.0,2.9
Mobile,Paid Search,New Visitor,2617,399,117,77,15.25,70.68,34.19,2.94
Tablet,Organic Search,New Visitor,263,43,14,8,16.35,67.44,42.86,3.04
Mobile,Paid Search,Returning Customer,124,17,5,4,13.71,70.59,20.0,3.23
Tablet,Email,New Visitor,88,14,7,3,15.91,50.0,57.14,3.41
Tablet,Direct,New Visitor,200,33,10,7,16.5,69.7,30.0,3.5
Desktop,Organic Search,Returning Customer,111,22,5,4,19.82,77.27,20.0,3.6
Desktop,Paid Search,Returning Customer,80,16,5,3,20.0,68.75,40.0,3.75
Desktop,Affiliate,New Visitor,280,53,19,11,18.93,64.15,42.11,3.93
Mobile,Direct,New Visitor,2099,374,119,93,17.82,68.18,21.85,4.43
Desktop,Paid Social,New Visitor,1314,187,75,59,14.23,59.89,21.33,4.49
Mobile,Email,New Visitor,1243,208,97,60,16.73,53.37,38.14,4.83
Desktop,Paid Social,Returning Customer,61,7,3,3,11.48,57.14,0.0,4.92
Desktop,Paid Search,New Visitor,1586,300,111,85,18.92,63.0,23.42,5.36
Desktop,Organic Search,New Visitor,1972,368,160,117,18.66,56.52,26.88,5.93
Desktop,Direct,New Visitor,1280,296,126,100,23.13,57.43,20.63,7.81
Desktop,Email,New Visitor,710,155,81,60,21.83,47.74,25.93,8.45
