full_date,date_key,year,quarter,quarter_name,month,month_name,month_year,day_of_month,day_name,is_weekend,fiscal_quarter
2025-01-01,20250101,2025,1,Q1,1,January,Jan 2025,1,Wednesday,0,FQ1
2025-01-02,20250102,2025,1,Q1,1,January,Jan 2025,2,Thursday,0,FQ1
2025-01-03,20250103,2025,1,Q1,1,January,Jan 2025,3,Friday,0,FQ1
2025-01-04,20250104,2025,1,Q1,1,January,Jan 2025,4,Saturday,1,FQ1
2025-01-05,20250105,2025,1,Q1,1,January,Jan 2025,5,Sunday,1,FQ1
2025-01-06,20250106,2025,1,Q1,1,January,Jan 2025,6,Monday,0,FQ1
2025-01-07,20250107,2025,1,Q1,1,January,Jan 2025,7,Tuesday,0,FQ1
2025-01-08,20250108,2025,1,Q1,1,January,Jan 2025,8,Wednesday,0,FQ1
2025-01-09,20250109,2025,1,Q1,1,January,Jan 2025,9,Thursday,0,FQ1
2025-01-10,20250110,2025,1,Q1,1,January,Jan 2025,10,Friday,0,FQ1
2025-01-11,20250111,2025,1,Q1,1,January,Jan 2025,11,Saturday,1,FQ1
2025-01-12,20250112,2025,1,Q1,1,January,Jan 2025,12,Sunday,1,FQ1
2025-01-13,20250113,2025,1,Q1,1,January,Jan 2025,13,Monday,0,FQ1
2025-01-14,20250114,2025,1,Q1,1,January,Jan 2025,14,Tuesday,0,FQ1
2025-01-15,20250115,2025,1,Q1,1,January,Jan 2025,15,Wednesday,0,FQ1
2025-01-16,20250116,2025,1,Q1,1,January,Jan 2025,16,Thursday,0,FQ1
2025-01-17,20250117,2025,1,Q1,1,January,Jan 2025,17,Friday,0,FQ1
2025-01-18,20250118,2025,1,Q1,1,January,Jan 2025,18,Saturday,1,FQ1
2025-01-19,20250119,2025,1,Q1,1,January,Jan 2025,19,Sunday,1,FQ1
2025-01-20,20250120,2025,1,Q1,1,January,Jan 2025,20,Monday,0,FQ1
2025-01-21,20250121,2025,1,Q1,1,January,Jan 2025,21,Tuesday,0,FQ1
2025-01-22,20250122,2025,1,Q1,1,January,Jan 2025,22,Wednesday,0,FQ1
2025-01-23,20250123,2025,1,Q1,1,January,Jan 2025,23,Thursday,0,FQ1
2025-01-24,20250124,2025,1,Q1,1,January,Jan 2025,24,Friday,0,FQ1
2025-01-25,20250125,2025,1,Q1,1,January,Jan 2025,25,Saturday,1,FQ1
2025-01-26,20250126,2025,1,Q1,1,January,Jan 2025,26,Sunday,1,FQ1
2025-01-27,20250127,2025,1,Q1,1,January,Jan 2025,27,Monday,0,FQ1
2025-01-28,20250128,2025,1,Q1,1,January,Jan 2025,28,Tuesday,0,FQ1
2025-01-29,20250129,2025,1,Q1,1,January,Jan 2025,29,Wednesday,0,FQ1
2025-01-30,20250130,2025,1,Q1,1,January,Jan 2025,30,Thursday,0,FQ1
2025-01-31,20250131,2025,1,Q1,1,January,Jan 2025,31,Friday,0,FQ1
2025-02-01,20250201,2025,1,Q1,2,February,Feb 2025,1,Saturday,1,FQ1
2025-02-02,20250202,2025,1,Q1,2,February,Feb 2025,2,Sunday,1,FQ1
2025-02-03,20250203,2025,1,Q1,2,February,Feb 2025,3,Monday,0,FQ1
2025-02-04,20250204,2025,1,Q1,2,February,Feb 2025,4,Tuesday,0,FQ1
2025-02-05,20250205,2025,1,Q1,2,February,Feb 2025,5,Wednesday,0,FQ1
2025-02-06,20250206,2025,1,Q1,2,February,Feb 2025,6,Thursday,0,FQ1
2025-02-07,20250207,2025,1,Q1,2,February,Feb 2025,7,Friday,0,FQ1
2025-02-08,20250208,2025,1,Q1,2,February,Feb 2025,8,Saturday,1,FQ1
2025-02-09,20250209,2025,1,Q1,2,February,Feb 2025,9,Sunday,1,FQ1
2025-02-10,20250210,2025,1,Q1,2,February,Feb 2025,10,Monday,0,FQ1
2025-02-11,20250211,2025,1,Q1,2,February,Feb 2025,11,Tuesday,0,FQ1
2025-02-12,20250212,2025,1,Q1,2,February,Feb 2025,12,Wednesday,0,FQ1
2025-02-13,20250213,2025,1,Q1,2,February,Feb 2025,13,Thursday,0,FQ1
2025-02-14,20250214,2025,1,Q1,2,February,Feb 2025,14,Friday,0,FQ1
2025-02-15,20250215,2025,1,Q1,2,February,Feb 2025,15,Saturday,1,FQ1
2025-02-16,20250216,2025,1,Q1,2,February,Feb 2025,16,Sunday,1,FQ1
2025-02-17,20250217,2025,1,Q1,2,February,Feb 2025,17,Monday,0,FQ1
2025-02-18,20250218,2025,1,Q1,2,February,Feb 2025,18,Tuesday,0,FQ1
2025-02-19,20250219,2025,1,Q1,2,February,Feb 2025,19,Wednesday,0,FQ1
2025-02-20,20250220,2025,1,Q1,2,February,Feb 2025,20,Thursday,0,FQ1
2025-02-21,20250221,2025,1,Q1,2,February,Feb 2025,21,Friday,0,FQ1
2025-02-22,20250222,2025,1,Q1,2,February,Feb 2025,22,Saturday,1,FQ1
2025-02-23,20250223,2025,1,Q1,2,February,Feb 2025,23,Sunday,1,FQ1
2025-02-24,20250224,2025,1,Q1,2,February,Feb 2025,24,Monday,0,FQ1
2025-02-25,20250225,2025,1,Q1,2,February,Feb 2025,25,Tuesday,0,FQ1
