order_item_id,order_id,product_id,quantity,unit_price,line_total,product_key,unit_cost,line_cost,line_profit
1,ORD-2025-000001,26,1,24.0,24.0,26,8.5,8.5,15.5
2,ORD-2025-000002,5,1,79.99,79.99,5,38.0,38.0,41.99
3,ORD-2025-000003,27,1,22.0,22.0,27,6.0,6.0,16.0
4,ORD-2025-000004,18,3,89.0,267.0,18,38.0,114.0,153.0
5,ORD-2025-000005,16,1,48.0,48.0,16,20.0,20.0,28.0
6,ORD-2025-000006,17,2,349.0,698.0,17,160.0,320.0,378.0
7,ORD-2025-000007,10,1,68.0,68.0,10,22.0,22.0,46.0
8,ORD-2025-000008,30,2,85.0,170.0,30,35.0,70.0,100.0
9,ORD-2025-000009,21,1,34.0,34.0,21,12.0,12.0,22.0
10,ORD-2025-000010,32,1,49.0,49.0,32,18.0,18.0,31.0
11,ORD-2025-000011,19,1,95.0,95.0,19,42.0,42.0,53.0
12,ORD-2025-000012,30,2,85.0,170.0,30,35.0,70.0,100.0
13,ORD-2025-000013,28,1,25.0,25.0,28,7.5,7.5,17.5
14,ORD-2025-000014,9,1,28.0,28.0,9,8.0,8.0,20.0
15,ORD-2025-000015,13,2,145.0,290.0,13,55.0,110.0,180.0
16,ORD-2025-000016,25,1,79.0,79.0,25,28.0,28.0,51.0
17,ORD-2025-000017,10,1,68.0,68.0,10,22.0,22.0,46.0
18,ORD-2025-000018,12,1,38.0,38.0,12,14.0,14.0,24.0
19,ORD-2025-000019,10,1,68.0,68.0,10,22.0,22.0,46.0
20,ORD-2025-000020,14,1,44.0,44.0,14,16.0,16.0,28.0
21,ORD-2025-000021,9,2,28.0,56.0,9,8.0,16.0,40.0
22,ORD-2025-000022,26,1,24.0,24.0,26,8.5,8.5,15.5
23,ORD-2025-000023,21,1,34.0,34.0,21,12.0,12.0,22.0
24,ORD-2025-000024,27,1,22.0,22.0,27,6.0,6.0,16.0
25,ORD-2025-000025,21,1,34.0,34.0,21,12.0,12.0,22.0
26,ORD-2025-000026,14,1,44.0,44.0,14,16.0,16.0,28.0
27,ORD-2025-000027,29,2,32.0,64.0,29,11.0,22.0,42.0
28,ORD-2025-000028,2,1,149.99,149.99,2,75.0,75.0,74.99
29,ORD-2025-000029,30,3,85.0,255.0,30,35.0,105.0,150.0
30,ORD-2025-000030,30,1,85.0,85.0,30,35.0,35.0,50.0
31,ORD-2025-000031,30,1,85.0,85.0,30,35.0,35.0,50.0
32,ORD-2025-000032,15,1,29.0,29.0,15,10.0,10.0,19.0
33,ORD-2025-000033,5,1,79.99,79.99,5,38.0,38.0,41.99
34,ORD-2025-000034,13,1,145.0,145.0,13,55.0,55.0,90.0
35,ORD-2025-000035,8,1,49.99,49.99,8,22.0,22.0,27.99
36,ORD-2025-000036,17,2,349.0,698.0,17,160.0,320.0,378.0
37,ORD-2025-000037,32,2,49.0,98.0,32,18.0,36.0,62.0
38,ORD-2025-000038,23,1,26.0,26.0,23,7.0,7.0,19.0
