order_id,user_key,session_id,date_key,subtotal,discount_amount,shipping_fee,tax_amount,total_amount,order_status,shipping_method
ORD-2025-000001,834,SES-2025-000142,20250908,24.0,0.0,7.99,1.98,33.97,Delivered,Standard Ground
ORD-2025-000002,1386,SES-2025-000165,20251010,79.99,0.0,0.0,6.6,86.59,Delivered,Free Standard
ORD-2025-000003,6201,SES-2025-000213,20251218,22.0,2.2,7.99,1.82,29.61,Delivered,Standard Ground
ORD-2025-000004,9354,SES-2025-000251,20251129,267.0,0.0,0.0,22.03,289.03,Delivered,Free Standard
ORD-2025-000005,8422,SES-2025-000316,20251008,48.0,0.0,7.99,3.96,59.95,Delivered,Standard Ground
ORD-2025-000006,9574,SES-2025-000381,20251219,698.0,0.0,0.0,57.59,755.59,Delivered,Free Standard
ORD-2025-000007,8363,SES-2025-000408,20250822,68.0,0.0,7.99,5.61,81.6,Delivered,Standard Ground
ORD-2025-000008,8376,SES-2025-000428,20250515,170.0,0.0,0.0,14.03,184.03,Delivered,Free Standard
ORD-2025-000009,6095,SES-2025-000504,20250511,34.0,0.0,7.99,2.81,44.8,Delivered,Standard Ground
ORD-2025-000010,8893,SES-2025-000522,20250925,49.0,4.9,7.99,4.04,56.13,Delivered,Standard Ground
ORD-2025-000011,2773,SES-2025-000538,20250426,95.0,0.0,0.0,7.84,102.84,Delivered,Free Standard
ORD-2025-000012,8403,SES-2025-000609,20251026,170.0,0.0,0.0,14.03,184.03,Delivered,Free Standard
ORD-2025-000013,9470,SES-2025-000651,20251005,25.0,0.0,7.99,2.06,35.05,Processing,Standard Ground
ORD-2025-000014,8737,SES-2025-000754,20250923,28.0,0.0,7.99,2.31,38.3,Delivered,Standard Ground
ORD-2025-000015,1992,SES-2025-000891,20251129,290.0,0.0,0.0,23.93,313.93,Delivered,Free Standard
ORD-2025-000016,3204,SES-2025-000926,20251202,79.0,7.9,0.0,6.52,77.62,Delivered,Free Standard
ORD-2025-000017,7740,SES-2025-000969,20251108,68.0,0.0,7.99,5.61,81.6,Delivered,Standard Ground
ORD-2025-000018,4176,SES-2025-000971,20250925,38.0,0.0,7.99,3.14,49.13,Delivered,Standard Ground
ORD-2025-000019,32,SES-2025-001040,20251224,68.0,0.0,7.99,5.61,81.6,Delivered,Standard Ground
ORD-2025-000020,8126,SES-2025-001071,20251117,44.0,0.0,7.99,3.63,55.62,Delivered,Standard Ground
