session_id,user_key,date_key,device_key,channel_key,page_views,duration_seconds,is_bounced,has_converted
SES-2025-000001,0,20250928,1,3,2,52,0,0
SES-2025-000002,3268,20251105,2,1,1,13,1,0
SES-2025-000003,6486,20251104,1,2,3,101,0,0
SES-2025-000004,0,20250214,2,3,1,5,1,0
SES-2025-000005,0,20250813,2,5,3,97,0,0
SES-2025-000006,4274,20250812,2,2,3,99,0,0
SES-2025-000007,5468,20250417,1,4,2,28,0,0
SES-2025-000008,0,20250212,1,4,4,81,0,0
SES-2025-000009,2965,20251005,1,1,1,4,1,0
SES-2025-000010,4117,20250730,2,4,1,4,1,0
SES-2025-000011,4585,20251008,1,1,1,15,1,0
SES-2025-000012,0,20250821,1,3,3,80,0,0
SES-2025-000013,1747,20250906,2,2,3,73,0,0
SES-2025-000014,0,20250523,2,4,1,18,1,0
SES-2025-000015,9119,20251122,1,3,1,16,1,0
SES-2025-000016,1813,20250618,2,2,3,92,0,0
SES-2025-000017,0,20250814,1,4,1,11,1,0
SES-2025-000018,4937,20251029,2,2,3,96,0,0
SES-2025-000019,2898,20251115,2,4,3,77,0,0
SES-2025-000020,1071,20251228,2,2,2,48,0,0
SES-2025-000021,8501,20250713,2,5,2,46,0,0
SES-2025-000022,0,20250622,1,3,3,105,0,0
SES-2025-000023,5448,20251230,2,1,3,104,0,0
SES-2025-000024,1814,20250606,1,2,3,86,0,0
SES-2025-000025,0,20250124,1,1,1,11,1,0
SES-2025-000026,774,20250709,1,3,3,91,0,0
SES-2025-000027,6740,20250716,2,2,2,43,0,0
SES-2025-000028,4984,20251208,1,3,3,89,0,0
SES-2025-000029,2648,20251116,2,1,3,84,0,0
SES-2025-000030,6862,20251203,2,2,4,118,0,0
SES-2025-000031,5837,20251128,1,1,2,44,0,0
SES-2025-000032,4429,20250912,2,6,2,67,0,0
SES-2025-000033,4482,20251120,2,4,1,9,1,0
SES-2025-000034,4272,20250825,2,3,1,13,1,0
SES-2025-000035,5419,20250916,1,1,4,123,0,0
SES-2025-000036,0,20250810,2,3,2,37,0,0
SES-2025-000037,5117,20251118,1,4,4,108,0,0
SES-2025-000038,0,20251124,1,3,2,31,0,0
SES-2025-000039,0,20251219,2,4,2,47,0,0
SES-2025-000040,0,20250927,2,1,1,5,1,0
SES-2025-000041,0,20250726,2,4,2,39,0,0
SES-2025-000042,0,20251209,2,4,3,79,0,0
SES-2025-000043,4455,20250423,2,4,2,53,0,0
SES-2025-000044,5217,20251224,1,5,4,127,0,0
SES-2025-000045,0,20250914,1,5,3,65,0,0
SES-2025-000046,0,20251012,3,1,1,8,1,0
SES-2025-000047,599,20251222,1,6,3,107,0,0
SES-2025-000048,5488,20250829,2,3,2,42,0,0
SES-2025-000049,9473,20250909,2,6,1,4,1,0
SES-2025-000050,0,20250718,2,3,1,14,1,0
SES-2025-000051,8206,20251225,2,3,2,33,0,0
SES-2025-000052,8494,20251105,3,1,1,15,1,0
SES-2025-000053,9868,20251003,2,2,4,122,0,0
SES-2025-000054,5249,20251223,1,2,3,92,0,0
SES-2025-000055,0,20250127,2,2,1,11,1,0
SES-2025-000056,8398,20251123,2,1,3,109,0,0
SES-2025-000057,2247,20250828,2,2,1,9,1,0
SES-2025-000058,6402,20251020,2,1,1,3,1,0
SES-2025-000059,8877,20251216,1,4,2,56,0,0
SES-2025-000060,6439,20251129,2,3,3,132,0,0
SES-2025-000061,4668,20250902,1,1,4,148,0,0
SES-2025-000062,1858,20251028,2,3,1,8,1,0
SES-2025-000063,953,20250801,2,1,2,59,0,0
SES-2025-000064,7307,20250707,1,5,1,10,1,0
SES-2025-000065,7330,20251210,1,3,3,76,0,0
SES-2025-000066,395,20251224,2,1,1,18,1,0
SES-2025-000067,0,20250104,1,1,3,114,0,0
SES-2025-000068,3217,20251125,2,2,1,7,1,0
SES-2025-000069,0,20251015,2,3,3,75,0,0
SES-2025-000070,0,20250727,2,5,3,104,0,0
SES-2025-000071,8276,20251202,2,2,2,58,0,0
SES-2025-000072,0,20251024,2,1,3,124,0,0
SES-2025-000073,2412,20251120,1,1,4,149,0,0
SES-2025-000074,0,20250912,3,2,4,118,0,0
SES-2025-000075,5559,20250508,2,1,3,77,0,0
SES-2025-000076,9565,20250624,1,1,1,5,1,0
SES-2025-000077,1123,20251121,2,3,3,75,0,0
SES-2025-000078,0,20250320,2,1,3,101,0,0
SES-2025-000079,1086,20251228,2,4,3,141,0,0
SES-2025-000080,0,20251016,2,5,2,63,0,0
SES-2025-000081,952,20251011,2,4,1,7,1,0
SES-2025-000082,9705,20251129,2,2,1,18,1,0
SES-2025-000083,2639,20251114,2,1,3,70,0,0
SES-2025-000084,0,20250521,2,2,1,12,1,0
SES-2025-000085,9616,20251226,1,1,4,81,0,0
SES-2025-000086,2079,20251122,2,5,3,68,0,0
SES-2025-000087,0,20251216,2,3,4,103,0,0
SES-2025-000088,1355,20251204,1,5,4,125,0,0
SES-2025-000089,0,20250605,1,4,4,138,0,0
SES-2025-000090,3778,20250516,1,1,2,52,0,0
SES-2025-000091,8414,20251030,2,4,1,7,1,0
SES-2025-000092,8772,20251120,1,3,3,70,0,0
SES-2025-000093,2887,20251117,1,2,4,113,0,0
SES-2025-000094,8913,20250809,3,3,3,65,0,0
SES-2025-000095,1246,20251103,1,5,3,63,0,0
SES-2025-000096,0,20251029,1,1,1,17,1,0
SES-2025-000097,0,20251218,2,1,2,57,0,0
SES-2025-000098,0,20250814,2,3,3,99,0,0
SES-2025-000099,0,20250614,2,6,1,15,1,0
SES-2025-000100,3030,20251102,2,1,3,95,0,0
SES-2025-000101,0,20250212,2,1,1,7,1,0
